Rank,Time,Name,Code,Date of Birth,Place,City,Date,Gender,Event
35,01:42.5,Wilfred Bungei,KEN,24/07/1980,1,Bruxelles,09/05/2003,Men,800 m
36,01:42.5,Timothy Kitum,KEN,20/11/1994,3,London,08/09/2012,Men,800 m
36,01:42.5,Mohammed Aman,ETH,10/01/1994,1,Zürich,30/08/2012,Men,800 m
36,01:42.5,Pierre-Ambroise Bosse,FRA,11/05/1992,2,Monaco,18/07/2014,Men,800 m
39,01:42.5,Joaquim Cruz,BRA,12/03/1963,1,Köln,25/08/1985,Men,800 m
40,01:42.5,André Bucher,SUI,19/10/1976,1,Zürich,17/08/2001,Men,800 m
41,01:42.6,Wilson Kipketer,DEN,12/12/1970,1,Monaco,08/04/1999,Men,800 m
42,01:42.6,Vebjørn Rodal,NOR,16/09/1972,1,Atlanta,31/07/1996,Men,800 m
43,01:42.6,Wilson Kipketer,DEN,12/12/1970,1,Monaco,08/10/1996,Men,800 m
44,01:42.6,Johnny Gray,USA,19/06/1960,2,Koblenz,28/08/1985,Men,800 m
45,01:42.6,Wilson Kipketer,DEN,12/12/1970,1,Zürich,14/08/1996,Men,800 m
45,01:42.6,Wilson Kipketer,DEN,12/12/1970,1,Lausanne,07/02/1997,Men,800 m
45,01:42.6,David Rudisha,KEN,17/12/1988,1,Monaco,22/07/2011,Men,800 m
45,01:42.6,Taoufik Makhloufi,ALG,29/04/1988,2,Rio de Janeiro,15/08/2016,Men,800 m
49,01:42.6,Patrick Ndururi,KEN,12/01/1969,2,Zürich,13/08/1997,Men,800 m
50,01:42.7,Johnny Gray,USA,19/06/1960,1,Zürich,17/08/1988,Men,800 m
51,01:42.7,Nijel Amos,BOT,15/03/1994,2,Monaco,17/07/2015,Men,800 m
52,01:42.7,Alfred Kirwa Yego,KEN,28/11/1986,2,Rieti,09/06/2009,Men,800 m
53,01:42.7,Hezekiél Sepeng,RSA,30/06/1974,2,Bruxelles,09/03/1999,Men,800 m
53,01:42.7,Japheth Kimutai,KEN,20/12/1978,3,Bruxelles,09/03/1999,Men,800 m
53,01:42.7,Abubaker Kaki Khamis,SUD,21/06/1989,1,Oslo,06/06/2008,Men,800 m
56,01:42.7,Hezekiél Sepeng,RSA,30/06/1974,2,Atlanta,31/07/1996,Men,800 m
56,01:42.7,Wilson Kipketer,DEN,12/12/1970,1,Bruxelles,30/08/2002,Men,800 m
58,01:42.8,André Bucher,SUI,19/10/1976,2,Bruxelles,24/08/2001,Men,800 m
59,01:42.8,Wilson Kipketer,DEN,12/12/1970,1,Oslo,07/05/1996,Men,800 m
59,01:42.8,Japheth Kimutai,KEN,20/12/1978,1,Stuttgart,19/07/1998,Men,800 m
61,01:42.8,Wilson Kipketer,DEN,12/12/1970,1,Bruxelles,23/08/1996,Men,800 m
61,01:42.8,Wilson Kipketer,DEN,12/12/1970,1,Monaco,16/08/1997,Men,800 m
63,01:42.8,Frederick Onyancha,KEN,25/12/1969,3,Atlanta,31/07/1996,Men,800 m
63,01:42.8,Wilson Kipketer,DEN,12/12/1970,1,Roma,07/07/1999,Men,800 m
63,01:42.8,Yuriy Borzakovskiy,RUS,12/04/1981,1,Monaco,19/07/2008,Men,800 m
63,01:42.8,Youssef Saad Kamel,BRN,29/03/1983,2,Monaco,19/07/2008,Men,800 m
67,01:42.8,Johnny Gray,USA,19/06/1960,1,New Orleans,24/06/1992,Men,800 m
68,01:42.8,Jean-Patrick Nduwimana,BDI,09/05/1978,2,Zürich,17/08/2001,Men,800 m
68,01:42.8,David Rudisha,KEN,17/12/1988,2,Zürich,30/08/2012,Men,800 m
70,01:42.8,Duane Solomon,USA,28/12/1984,4,London,08/09/2012,Men,800 m
71,01:42.8,Mohammed Aman,ETH,10/01/1994,3,Monaco,18/07/2014,Men,800 m
72,01:42.8,David Rudisha,KEN,17/12/1988,1,Nairobi,30/07/2010,Men,800 m
72,01:42.8,Ferguson Cheruiyot,KEN,30/11/1989,4,Monaco,18/07/2014,Men,800 m
74,01:42.9,Norberto Téllez,CUB,22/01/1972,4,Atlanta,31/07/1996,Men,800 m
75,01:42.9,Mbulaeni Mulaudzi,RSA,08/09/1980,3,Rieti,09/06/2009,Men,800 m
76,01:42.9,Wilson Kipketer,DEN,12/12/1970,1,Monaco,25/07/1995,Men,800 m
76,01:42.9,Wilson Kipketer,DEN,12/12/1970,1,Zürich,16/08/1995,Men,800 m
76,01:42.9,Japheth Kimutai,KEN,20/12/1978,1,Zürich,08/12/1998,Men,800 m
76,01:42.9,Alfred Kipketer,KEN,26/12/1996,1,Saint-Denis,27/08/2016,Men,800 m
80,01:42.9,Steve Cram,GBR,14/10/1960,1,Zürich,21/08/1985,Men,800 m
81,01:42.9,Mbulaeni Mulaudzi,RSA,08/09/1980,2,Bruxelles,09/05/2003,Men,800 m
82,01:42.9,Patrick Ndururi,KEN,12/01/1969,1,Roma,14/07/1998,Men,800 m
82,01:42.9,André Bucher,SUI,19/10/1976,1,Monaco,20/07/2001,Men,800 m
84,01:42.9,William Yiampoy,KEN,17/05/1974,3,Rieti,09/08/2002,Men,800 m
84,01:42.9,David Rudisha,KEN,17/12/1988,1,London,08/05/2011,Men,800 m
86,01:42.9,André Bucher,SUI,19/10/1976,4,Bruxelles,09/03/1999,Men,800 m
87,01:42.9,Clayton Murphy,USA,26/02/1995,3,Rio de Janeiro,15/08/2016,Men,800 m
88,01:43.0,Vebjørn Rodal,NOR,16/09/1972,2,Oslo,07/05/1996,Men,800 m
88,01:43.0,Boaz Lalang,KEN,08/02/1989,2,Rieti,29/08/2010,Men,800 m
88,01:43.0,Nick Symmonds,USA,30/12/1983,5,London,08/09/2012,Men,800 m
91,01:43.0,Johnny Gray,USA,19/06/1960,1,Koblenz,29/08/1984,Men,800 m
91,01:43.0,Wilfred Bungei,KEN,24/07/1980,3,Zürich,17/08/2001,Men,800 m
93,01:43.0,Peter Elliott,GBR,09/10/1962,1,Sevilla,30/05/1990,Men,800 m
93,01:43.0,Ayanleh Souleiman,DJI,03/12/1992,3,Monaco,17/07/2015,Men,800 m
95,01:43.0,Joaquim Cruz,BRA,12/03/1963,1,Berlin,23/08/1985,Men,800 m
95,01:43.0,Patrick Konchellah,KEN,20/04/1968,2,Köln,24/08/1997,Men,800 m
95,01:43.0,Wilson Kipketer,DEN,12/12/1970,1,Fukuoka,13/09/1997,Men,800 m
95,01:43.0,Japheth Kimutai,KEN,20/12/1978,2,Roma,07/07/1999,Men,800 m
95,01:43.0,David Rudisha,KEN,17/12/1988,5,Monaco,18/07/2014,Men,800 m
95,01:43.0,Taoufik Makhloufi,ALG,29/04/1988,2,Saint-Denis,27/08/2016,Men,800 m
101,00:01:43,Joaquim Cruz,BRA,12/03/1963,1,Los Angeles,08/06/1984,Men,800 m
101,00:01:43,William Yiampoy,KEN,17/05/1974,4,Zürich,17/08/2001,Men,800 m
101,00:01:43,David Rudisha,KEN,17/12/1988,1,Ad-Dawhah,14/05/2010,Men,800 m
104,01:43.0,Wilson Kipketer,DEN,12/12/1970,1,Zürich,08/11/1999,Men,800 m
105,01:43.0,Kenneth Kimwetich,KEN,01/01/1973,2,Stuttgart,19/07/1998,Men,800 m
105,01:43.0,Nick Symmonds,USA,30/12/1983,2,Bruxelles,09/06/2013,Men,800 m
107,01:43.0,Wilfred Bungei,KEN,24/07/1980,1,Hengelo,06/01/2003,Men,800 m
107,01:43.0,Jonathan Kitilit,KEN,24/04/1994,3,Saint-Denis,27/08/2016,Men,800 m
109,01:43.1,Billy Konchellah,KEN,20/10/1961,1,Roma,09/01/1987,Men,800 m
109,01:43.1,Wilfred Bungei,KEN,24/07/1980,1,Zürich,08/06/2004,Men,800 m
111,01:43.1,Sebastian Coe,GBR,29/09/1956,2,Köln,25/08/1985,Men,800 m
111,01:43.1,Yeimer López,CUB,20/08/1982,1,Jerez de la Frontera,24/06/2008,Men,800 m
113,01:43.1,José Luis Barbosa,BRA,27/05/1961,1,Rieti,09/06/1991,Men,800 m
113,01:43.1,Ayanleh Souleiman,DJI,03/12/1992,1,Barcelona,07/08/2015,Men,800 m
115,01:43.1,Japheth Kimutai,KEN,20/12/1978,2,Monaco,08/04/1999,Men,800 m
115,01:43.1,Djabir Said-Guerni,ALG,29/03/1977,5,Bruxelles,09/03/1999,Men,800 m
115,01:43.1,Mbulaeni Mulaudzi,RSA,08/09/1980,1,Rieti,27/08/2006,Men,800 m
115,01:43.1,Abubaker Kaki Khamis,SUD,21/06/1989,1,Ad-Dawhah,05/08/2009,Men,800 m
119,01:43.1,Johnny Gray,USA,19/06/1960,1,Hengelo,14/08/1988,Men,800 m
119,01:43.1,Abubaker Kaki Khamis,SUD,21/06/1989,1,Hengelo,06/01/2009,Men,800 m
119,01:43.1,Abubaker Kaki Khamis,SUD,21/06/1989,1,Monaco,22/07/2010,Men,800 m
119,01:43.1,David Rudisha,KEN,17/12/1988,1,Ad-Dawhah,05/11/2012,Men,800 m
123,01:43.1,Wilson Kipketer,DEN,12/12/1970,1,Oslo,30/06/1999,Men,800 m
123,01:43.1,Youssef Saad Kamel,BRN,29/03/1983,1,Zürich,08/06/2004,Men,800 m
123,01:43.1,Nijel Amos,BOT,15/03/1994,1,Mannheim,06/09/2012,Men,800 m
126,01:43.1,André Bucher,SUI,19/10/1976,1,Lausanne,07/05/2000,Men,800 m
126,01:43.1,Hezekiél Sepeng,RSA,30/06/1974,3,Bruxelles,09/05/2003,Men,800 m
128,01:43.1,Wilson Kipketer,DEN,12/12/1970,1,Byrkjelo,16/06/1996,Men,800 m
128,01:43.1,Abubaker Kaki Khamis,SUD,21/06/1989,2,London,08/05/2011,Men,800 m
128,01:43.1,Abraham Rotich,KEN,26/06/1993,1,Monaco,20/07/2012,Men,800 m
131,01:43.2,Japheth Kimutai,KEN,20/12/1978,4,Rieti,09/08/2002,Men,800 m
131,01:43.2,Mehdi Baala,FRA,17/08/1978,5,Rieti,09/08/2002,Men,800 m
131,01:43.2,David Rudisha,KEN,17/12/1988,1,Melbourne,03/04/2010,Men,800 m
131,01:43.2,Asbel Kiprop,KEN,30/06/1989,2,Monaco,22/07/2011,Men,800 m
131,01:43.2,Abraham Rotich,KEN,26/06/1993,1,Heusden-Zolder,07/08/2012,Men,800 m
136,01:43.2,Paul Ereng,KEN,22/08/1967,1,Zürich,16/08/1989,Men,800 m
136,01:43.2,Hezekiél Sepeng,RSA,30/06/1974,3,Monaco,08/04/1999,Men,800 m
138,01:43.2,Benson Koech,KEN,10/11/1974,1,Rieti,28/08/1994,Men,800 m
138,01:43.2,Yuriy Borzakovskiy,RUS,12/04/1981,2,Monaco,20/07/2001,Men,800 m
138,01:43.2,Asbel Kiprop,KEN,30/06/1989,2,Ad-Dawhah,05/08/2009,Men,800 m
141,01:43.2,Wilson Kipketer,DEN,12/12/1970,2,Zürich,08/12/1998,Men,800 m
142,01:43.2,Steve Cram,GBR,14/10/1960,1,Rieti,09/07/1986,Men,800 m
142,01:43.2,Hezekiél Sepeng,RSA,30/06/1974,3,Köln,24/08/1997,Men,800 m
144,01:43.2,José Luis Barbosa,BRA,27/05/1961,2,Zürich,17/08/1988,Men,800 m
144,01:43.2,Mark Everett,USA,02/09/1968,1,Linz,07/09/1997,Men,800 m
144,01:43.2,Mohammed Aman,ETH,10/01/1994,6,London,08/09/2012,Men,800 m
147,01:43.2,Patrick Ndururi,KEN,12/01/1969,3,Zürich,08/12/1998,Men,800 m
148,01:43.2,Steve Cram,GBR,14/10/1960,1,Edinburgh,31/07/1986,Men,800 m
148,01:43.2,Paul Ereng,KEN,22/08/1967,1,Nice,07/10/1989,Men,800 m
148,01:43.2,Pawel Czapiewski,POL,30/03/1978,5,Zürich,17/08/2001,Men,800 m
148,01:43.2,Ferguson Cheruiyot,KEN,30/11/1989,3,Bruxelles,09/06/2013,Men,800 m
152,01:43.2,Joaquim Cruz,BRA,12/03/1963,2,Zürich,21/08/1985,Men,800 m
153,01:43.2,Wilfred Bungei,KEN,24/07/1980,1,Ostrava,06/12/2003,Men,800 m
154,01:43.2,Vebjørn Rodal,NOR,16/09/1972,1,London,07/12/1996,Men,800 m
154,01:43.2,Djabir Said-Guerni,ALG,29/03/1977,1,Bruxelles,25/08/2000,Men,800 m
154,01:43.2,Mbulaeni Mulaudzi,RSA,08/09/1980,1,Rehlingen,06/09/2003,Men,800 m
154,01:43.2,Amine Laâlou,MAR,13/05/1982,1,Roma,14/07/2006,Men,800 m
154,01:43.2,David Rudisha,KEN,17/12/1988,1,Lausanne,07/08/2010,Men,800 m
159,01:43.3,Sammy Kibet Langat,KEN,24/01/1970,1,Zürich,14/08/1996,Men,800 m
159,01:43.3,Mbulaeni Mulaudzi,RSA,08/09/1980,3,Monaco,29/07/2008,Men,800 m
161,01:43.3,David Rudisha,KEN,17/12/1988,1,Split,09/05/2010,Men,800 m
161,01:43.3,Duane Solomon,USA,28/12/1984,1,Des Moines,23/06/2013,Men,800 m
161,01:43.3,Nijel Amos,BOT,15/03/1994,1,Lausanne,07/09/2015,Men,800 m
164,01:43.3,Johnny Gray,USA,19/06/1960,2,Bruxelles,24/08/1984,Men,800 m
164,01:43.3,Johnny Gray,USA,19/06/1960,3,Köln,26/08/1984,Men,800 m
164,01:43.3,Sammy Koskei,KEN,14/05/1961,2,Koblenz,29/08/1984,Men,800 m
164,01:43.3,Wilson Kipketer,DEN,12/12/1970,4,Bruxelles,09/05/2003,Men,800 m
164,01:43.3,Nijel Amos,BOT,15/03/1994,1,Berlin,09/06/2015,Men,800 m
169,01:43.3,Wilson Kipketer,KEN,12/12/1970,1,Oslo,22/07/1994,Men,800 m
169,01:43.3,William Yiampoy,KEN,17/05/1974,2,Zürich,08/06/2004,Men,800 m
169,01:43.3,Boaz Lalang,KEN,08/02/1989,2,Monaco,22/07/2010,Men,800 m
169,01:43.3,Mbulaeni Mulaudzi,RSA,08/09/1980,3,Monaco,22/07/2010,Men,800 m
173,01:43.3,William Tanui,KEN,22/02/1964,2,Rieti,09/06/1991,Men,800 m
173,01:43.3,Wilson Kipketer,DEN,12/12/1970,1,Sevilla,29/08/1999,Men,800 m
173,01:43.3,Yuriy Borzakovskiy,RUS,12/04/1981,6,Zürich,17/08/2001,Men,800 m
173,01:43.3,Adam Kszczot,POL,02/09/1989,2,Rieti,09/10/2011,Men,800 m
177,01:43.3,Nixon Kiprotich,KEN,04/12/1962,1,Rieti,09/06/1992,Men,800 m
177,01:43.3,André Bucher,SUI,19/10/1976,2,Bruxelles,25/08/2000,Men,800 m
177,01:43.3,Wilfred Bungei,KEN,24/07/1980,2,Rieti,27/08/2006,Men,800 m
177,01:43.3,Mohammed Aman,ETH,10/01/1994,1,Moskva,13/08/2013,Men,800 m
177,01:43.3,David Rudisha,KEN,17/12/1988,1,Berlin,09/03/2016,Men,800 m
182,01:43.3,Hezekiél Sepeng,RSA,30/06/1974,2,Sevilla,29/08/1999,Men,800 m
182,01:43.3,Djabir Said-Guerni,ALG,29/03/1977,2,Lausanne,07/05/2000,Men,800 m
182,01:43.3,Abubaker Kaki Khamis,SUD,21/06/1989,7,London,08/09/2012,Men,800 m
185,01:43.3,Johnny Gray,USA,19/06/1960,3,Köln,25/08/1985,Men,800 m
185,01:43.3,Robert Kibsubai Chirchir,KEN,26/11/1972,3,Stuttgart,19/07/1998,Men,800 m
185,01:43.3,William Chirchir,KEN,06/02/1979,6,Bruxelles,09/03/1999,Men,800 m
185,01:43.3,Joseph Mutua Mwengi,KEN,10/12/1978,1,Zürich,16/08/2002,Men,800 m
185,01:43.3,Mohammed Aman,ETH,10/01/1994,1,Lausanne,07/04/2013,Men,800 m
190,01:43.3,José Luis Barbosa,BRA,27/05/1961,1,Koblenz,28/08/1988,Men,800 m
190,01:43.3,Wilson Kipketer,DEN,12/12/1970,1,Berlin,30/08/1996,Men,800 m
190,01:43.3,André Bucher,SUI,19/10/1976,1,Saint-Denis,07/06/2001,Men,800 m
190,01:43.3,Asbel Kiprop,KEN,30/06/1989,1,Saint-Denis,07/05/2014,Men,800 m
190,01:43.3,David Rudisha,KEN,17/12/1988,1,Glasgow,07/12/2014,Men,800 m
190,01:43.3,Boris Berian,USA,19/12/1992,4,Monaco,17/07/2015,Men,800 m
196,01:43.4,David Mack,USA,30/05/1961,3,Koblenz,28/08/1985,Men,800 m
196,01:43.4,Wilson Kipketer,DEN,12/12/1970,3,Bruxelles,25/08/2000,Men,800 m
196,01:43.4,Joseph Mutua Mwengi,KEN,10/12/1978,1,Rieti,09/05/2004,Men,800 m
196,01:43.4,David Rudisha,KEN,17/12/1988,1,Székesfehérvár,18/07/2016,Men,800 m
200,01:43.4,Johnny Gray,USA,19/06/1960,1,Zürich,16/08/1995,Men,800 m
200,01:43.4,William Yiampoy,KEN,17/05/1974,2,Bruxelles,30/08/2002,Men,800 m
200,01:43.4,Amine Laâlou,MAR,13/05/1982,2,Hengelo,06/01/2009,Men,800 m
203,01:43.4,William Tanui,KEN,22/02/1964,2,Rieti,09/06/1992,Men,800 m
203,01:43.4,Mohammed Aman,ETH,10/01/1994,3,Rieti,09/10/2011,Men,800 m
203,01:43.4,Nicholas Kipkoech,KEN,22/10/1992,1,Nairobi,29/04/2016,Men,800 m
206,01:43.4,Nixon Kiprotich,KEN,04/12/1962,2,Zürich,16/08/1989,Men,800 m
206,01:43.4,Sebastian Coe,GBR,29/09/1956,1,Bern,29/08/1989,Men,800 m
206,01:43.4,David Kiptoo Singoei,KEN,26/06/1965,2,Monaco,08/10/1996,Men,800 m
206,01:43.4,Wilson Kipketer,DEN,12/12/1970,1,Athínai,08/08/1997,Men,800 m
206,01:43.4,Rich Kenah,USA,04/08/1970,3,Zürich,13/08/1997,Men,800 m
206,01:43.4,Arthémon Hatungimana,BDI,21/01/1974,3,Bruxelles,24/08/2001,Men,800 m
206,01:43.4,Mbulaeni Mulaudzi,RSA,08/09/1980,1,Zürich,18/08/2006,Men,800 m
213,01:43.4,Billy Konchellah,KEN,20/10/1961,1,Zürich,19/08/1987,Men,800 m
213,01:43.4,Johnny Gray,USA,19/06/1960,1,Oslo,07/01/1989,Men,800 m
213,01:43.4,William Tanui,KEN,22/02/1964,1,Bruxelles,08/10/1990,Men,800 m
213,01:43.4,Patrick Konchellah,KEN,20/04/1968,2,Linz,07/09/1997,Men,800 m
217,01:43.4,David Rudisha,KEN,17/12/1988,1,Eldoret,30/06/2016,Men,800 m
217,01:43.4,Mark Everett,USA,02/09/1968,1,Oslo,07/04/1992,Men,800 m
217,01:43.4,Leonard Kosencha,KEN,21/08/1994,2,Monaco,20/07/2012,Men,800 m
220,01:43.4,Peter Elliott,GBR,09/10/1962,2,Roma,09/01/1987,Men,800 m
220,01:43.4,Pierre-Ambroise Bosse,FRA,11/05/1992,4,Rio de Janeiro,15/08/2016,Men,800 m
222,01:43.4,Steve Cram,GBR,14/10/1960,3,Zürich,17/08/1988,Men,800 m
222,01:43.4,David Kiptoo Singoei,KEN,26/06/1965,2,Rieti,09/01/1996,Men,800 m
222,01:43.4,Yuriy Borzakovskiy,RUS,12/04/1981,1,Athínai,07/03/2006,Men,800 m
225,01:43.4,Johnny Gray,USA,19/06/1960,3,Zürich,21/08/1985,Men,800 m
225,01:43.4,Youssef Saad Kamel,BRN,29/03/1983,2,Rieti,09/05/2004,Men,800 m
225,01:43.4,Ferguson Cheruiyot,KEN,30/11/1989,4,Saint-Denis,27/08/2016,Men,800 m
228,01:43.4,Alberto Juantorena,CUB,03/12/1950,1,Sofia,21/08/1977,Men,800 m
228,01:43.4,Hezekiél Sepeng,RSA,30/06/1974,1,Zürich,13/08/1997,Men,800 m
228,01:43.4,Duane Solomon,USA,28/12/1984,3,Monaco,20/07/2012,Men,800 m
231,01:43.5,Paul Ereng,KEN,22/08/1967,1,Seoul,26/09/1988,Men,800 m
231,01:43.5,Benson Koech,KEN,10/11/1974,2,Zürich,16/08/1995,Men,800 m
231,01:43.5,Patrick Ndururi,KEN,12/01/1969,2,Fukuoka,13/09/1997,Men,800 m
231,01:43.5,Bram Som,NED,20/02/1980,2,Zürich,18/08/2006,Men,800 m
231,01:43.5,Asbel Kiprop,KEN,30/06/1989,2,Ad-Dawhah,14/05/2010,Men,800 m
231,01:43.5,Adam Kszczot,POL,02/09/1989,5,Monaco,17/07/2015,Men,800 m
237,01:43.5,Johnny Gray,USA,19/06/1960,1,Zürich,13/08/1986,Men,800 m
237,01:43.5,Arthémon Hatungimana,BDI,21/01/1974,2,Zürich,14/08/1996,Men,800 m
237,01:43.5,David Rudisha,KEN,17/12/1988,1,Tomblaine,24/06/2011,Men,800 m
240,01:43.5,Hezekiél Sepeng,RSA,30/06/1974,1,Durham,13/07/1996,Men,800 m
241,01:43.5,Wilfred Bungei,KEN,24/07/1980,1,Bruxelles,09/03/2004,Men,800 m
241,01:43.5,Asbel Kiprop,KEN,30/06/1989,1,Athínai,13/07/2009,Men,800 m
241,01:43.5,Abubaker Kaki Khamis,SUD,21/06/1989,1,Torino,06/12/2010,Men,800 m
241,01:43.5,Jonathan Kitilit,KEN,24/04/1994,2,Nairobi,29/04/2016,Men,800 m
245,01:43.5,José Luis Barbosa,BRA,27/05/1961,2,Hengelo,14/08/1988,Men,800 m
246,01:43.5,Rick Wohlhuter,USA,23/12/1948,1,Eugene,06/08/1974,Men,800 m
246,01:43.5,Alberto Juantorena,CUB,03/12/1950,1,Montréal,25/07/1976,Men,800 m
246,01:43.5,Vebjørn Rodal,NOR,16/09/1972,2,Oslo,22/07/1994,Men,800 m
246,01:43.5,Patrick Konchellah,KEN,20/04/1968,2,Bruxelles,22/08/1997,Men,800 m
246,01:43.5,Mahjoub Haïda,MAR,01/07/1970,2,Roma,14/07/1998,Men,800 m
246,01:43.5,William Yiampoy,KEN,17/05/1974,2,Bruxelles,09/03/2004,Men,800 m
246,01:43.5,Abubaker Kaki Khamis,SUD,21/06/1989,1,Monaco,28/07/2009,Men,800 m
246,01:43.5,Abubaker Kaki Khamis,SUD,21/06/1989,1,Saint-Denis,16/07/2010,Men,800 m
246,01:43.5,David Rudisha,KEN,17/12/1988,1,Bruxelles,27/08/2010,Men,800 m
246,01:43.5,Mohammed Aman,ETH,10/01/1994,1,Milano,18/09/2011,Men,800 m
256,01:43.5,Sammy Koskei,KEN,14/05/1961,2,Zürich,22/08/1984,Men,800 m
256,01:43.5,Johnny Gray,USA,19/06/1960,2,Oslo,07/04/1992,Men,800 m
256,01:43.5,Mohammed Aman,ETH,10/01/1994,1,Daegu,16/05/2012,Men,800 m
259,01:43.5,Joseph Mutua Mwengi,KEN,10/12/1978,5,Bruxelles,09/05/2003,Men,800 m
259,01:43.5,Bram Som,NED,20/02/1980,3,Rieti,27/08/2006,Men,800 m
259,01:43.5,David Rudisha,KEN,17/12/1988,1,Zürich,28/08/2009,Men,800 m
259,01:43.5,Mohammed Aman,ETH,10/01/1994,1,Berlin,31/08/2014,Men,800 m
259,01:43.5,Ayanleh Souleiman,DJI,03/12/1992,5,Saint-Denis,27/08/2016,Men,800 m
264,01:43.5,David Rudisha,KEN,17/12/1988,3,Hengelo,06/01/2009,Men,800 m
264,01:43.5,Taoufik Makhloufi,ALG,29/04/1988,2,Berlin,31/08/2014,Men,800 m
266,01:43.5,William Wuyke,VEN,21/05/1958,2,Rieti,09/07/1986,Men,800 m
266,01:43.5,Nixon Kiprotich,KEN,04/12/1962,1,Rieti,09/05/1993,Men,800 m
266,01:43.5,Wilson Kipketer,DEN,12/12/1970,1,Roma,06/05/1997,Men,800 m
269,01:43.6,Nixon Kiprotich,KEN,04/12/1962,1,Köln,16/08/1992,Men,800 m
269,01:43.6,Philip Kibitok,KEN,23/03/1971,3,Rieti,09/01/1996,Men,800 m
269,01:43.6,Wilson Kipketer,DEN,12/12/1970,1,München,09/11/1999,Men,800 m
269,01:43.6,Nick Symmonds,USA,30/12/1983,2,Moskva,13/08/2013,Men,800 m
269,01:43.6,Donavan Brazier,USA,15/04/1997,1,Eugene,06/10/2016,Men,800 m
269,01:43.6,Ferguson Cheruiyot,KEN,30/11/1989,5,Rio de Janeiro,15/08/2016,Men,800 m
275,01:43.6,Rob Druppers,NED,29/04/1962,4,Köln,25/08/1985,Men,800 m
275,01:43.6,Arthémon Hatungimana,BDI,21/01/1974,2,Zürich,16/08/1995,Men,800 m
275,01:43.6,Vebjørn Rodal,NOR,16/09/1972,2,Zürich,14/08/1996,Men,800 m
